rep,n,best_fit,time_taken,time_till_best,initial_fitness,time_limit_s,initial,initial_size,neighbor,no_impro_iter
3,40,94687,0.046872,0.031251,140914,10,group,1000.0,close,1000
3,40,91166,0.259784,0.249371,152902,10,group,10000.0,close,1000
3,60,244440,0.060906,0.047906,490645,10,single,,close,1000
3,60,252583,0.060387,0.047927,412299,10,group,10.0,close,1000
3,60,244522,0.061612,0.048823,382730,10,group,100.0,close,1000
3,60,227327,0.086385,0.075338,348585,10,group,1000.0,close,1000
3,60,252451,0.315713,0.303156,389891,10,group,10000.0,close,1000
3,80,498562,0.146247,0.130114,994308,10,single,,close,1000
3,80,354511,0.120538,0.104103,620707,10,group,10.0,close,1000
3,80,450359,0.131236,0.112851,753559,10,group,100.0,close,1000
3,80,432665,0.1564,0.126103,708659,10,group,1000.0,close,1000
3,80,449451,0.438278,0.424583,649496,10,group,10000.0,close,1000
3,100,619506,0.221022,0.210281,1170528,10,single,,close,1000
3,100,781839,0.204036,0.19319,1195351,10,group,10.0,close,1000
3,100,761399,0.216234,0.209063,1248527,10,group,100.0,close,1000
3,100,578667,0.256295,0.23734,1025090,10,group,1000.0,close,1000
3,100,560777,0.593361,0.56319,917410,10,group,10000.0,close,1000
4,20,32489,0.012815,0.003998,49849,10,single,,close,1000
4,20,22162,0.005332,0.003999,37968,10,group,10.0,close,1000
4,20,23107,0.008747,0.008747,42616,10,group,100.0,close,1000
4,20,12079,0.034319,0.017373,20987,10,group,1000.0,close,1000
4,20,21618,0.164266,0.164266,28817,10,group,10000.0,close,1000
4,40,92982,0.036572,0.020253,186547,10,single,,close,1000
4,40,122105,0.030504,0.014264,195554,10,group,10.0,close,1000
4,40,172825,0.032206,0.01605,245614,10,group,100.0,close,1000
4,40,98498,0.036684,0.031104,140636,10,group,1000.0,close,1000
4,40,102208,0.229177,0.218178,140552,10,group,10000.0,close,1000
4,60,287360,0.078351,0.066098,513141,10,single,,close,1000
4,60,281401,0.102605,0.073398,442300,10,group,10.0,close,1000
4,60,327243,0.093244,0.077971,501583,10,group,100.0,close,1000
4,60,280545,0.081761,0.066137,422286,10,group,1000.0,close,1000
4,60,280650,0.319264,0.302525,409314,10,group,10000.0,close,1000
4,80,456932,0.13105,0.118105,810983,10,single,,close,1000
4,80,434520,0.13031,0.107218,701634,10,group,10.0,close,1000
4,80,447087,0.141654,0.120879,752417,10,group,100.0,close,1000
4,80,392914,0.143736,0.131496,649950,10,group,1000.0,close,1000
4,80,532838,0.433184,0.417121,761501,10,group,10000.0,close,1000
4,100,892254,0.231868,0.217469,1554104,10,single,,close,1000
4,100,694229,0.183193,0.166529,1119279,10,group,10.0,close,1000
4,100,639591,0.233765,0.199907,1111842,10,group,100.0,close,1000
4,100,743316,0.268091,0.236842,1238336,10,group,1000.0,close,1000
4,100,671735,0.701359,0.679204,1017202,10,group,10000.0,close,1000
