rep,n,best_fit,time_taken,time_till_best,initial_fitness,T0,alpha,beta,time_limit_s,cooling,initial,initial_size,iter_till_reduction,neighbor,no_impro_iter
2,40,118424,0.927193,0.626917,178786,1,0.9,,10,geometric,group,10000.0,1,close,10000
2,60,273543,0.576421,0.175542,448496,1,0.9,,10,geometric,single,,1,close,10000
2,60,177239,0.606166,0.172902,358118,1,0.9,,10,geometric,group,10.0,1,close,10000
2,60,294622,0.568246,0.150995,425410,1,0.9,,10,geometric,group,100.0,1,close,10000
2,60,237512,0.615996,0.216894,367252,1,0.9,,10,geometric,group,1000.0,1,close,10000
2,60,255051,1.259084,0.867192,376467,1,0.9,,10,geometric,group,10000.0,1,close,10000
2,80,386174,0.875664,0.386017,710124,1,0.9,,10,geometric,single,,1,close,10000
2,80,446579,0.965617,0.358131,781408,1,0.9,,10,geometric,group,10.0,1,close,10000
2,80,505710,0.825288,0.324944,839804,1,0.9,,10,geometric,group,100.0,1,close,10000
2,80,460409,0.88276,0.373531,685538,1,0.9,,10,geometric,group,1000.0,1,close,10000
2,80,431212,1.783582,1.274522,685108,1,0.9,,10,geometric,group,10000.0,1,close,10000
2,100,784709,1.325358,0.732615,1539638,1,0.9,,10,geometric,single,,1,close,10000
2,100,607060,1.183144,0.583189,1027825,1,0.9,,10,geometric,group,10.0,1,close,10000
2,100,797988,1.175636,0.565976,1233797,1,0.9,,10,geometric,group,100.0,1,close,10000
2,100,743774,1.353691,0.737894,1169858,1,0.9,,10,geometric,group,1000.0,1,close,10000
2,100,642018,2.419231,1.801612,1020565,1,0.9,,10,geometric,group,10000.0,1,close,10000
3,20,20915,0.222366,0.00794,42468,1,0.9,,10,geometric,single,,1,close,10000
3,20,17800,0.250368,0.011855,40108,1,0.9,,10,geometric,group,10.0,1,close,10000
3,20,24626,0.232788,0.016707,33554,1,0.9,,10,geometric,group,100.0,1,close,10000
3,20,22330,0.283327,0.050217,26592,1,0.9,,10,geometric,group,1000.0,1,close,10000
3,20,26133,0.69739,0.475956,30117,1,0.9,,10,geometric,group,10000.0,1,close,10000
3,40,92633,0.399929,0.060196,213105,1,0.9,,10,geometric,single,,1,close,10000
3,40,129443,0.364787,0.049346,197843,1,0.9,,10,geometric,group,10.0,1,close,10000
3,40,167357,0.366295,0.047925,231350,1,0.9,,10,geometric,group,100.0,1,close,10000
3,40,92856,0.449324,0.108713,148341,1,0.9,,10,geometric,group,1000.0,1,close,10000
3,40,104326,1.043309,0.741282,143727,1,0.9,,10,geometric,group,10000.0,1,close,10000
3,60,185448,0.573552,0.148041,334081,1,0.9,,10,geometric,single,,1,close,10000
3,60,251653,0.580847,0.157532,437706,1,0.9,,10,geometric,group,10.0,1,close,10000
3,60,241369,0.581498,0.151195,384708,1,0.9,,10,geometric,group,100.0,1,close,10000
3,60,219955,0.637905,0.221189,351724,1,0.9,,10,geometric,group,1000.0,1,close,10000
3,60,176234,1.366012,0.9513,294101,1,0.9,,10,geometric,group,10000.0,1,close,10000
3,80,405344,0.924626,0.400695,935233,1,0.9,,10,geometric,single,,1,close,10000
3,80,421405,0.983095,0.425018,746523,1,0.9,,10,geometric,group,10.0,1,close,10000
3,80,428508,0.950117,0.400643,689712,1,0.9,,10,geometric,group,100.0,1,close,10000
3,80,439837,0.99306,0.44963,746968,1,0.9,,10,geometric,group,1000.0,1,close,10000
3,80,515436,1.741617,1.232422,785819,1,0.9,,10,geometric,group,10000.0,1,close,10000
3,100,744557,1.432523,0.799287,1380576,1,0.9,,10,geometric,single,,1,close,10000
3,100,684371,1.289867,0.609777,1204999,1,0.9,,10,geometric,group,10.0,1,close,10000
3,100,821459,1.244784,0.636053,1287029,1,0.9,,10,geometric,group,100.0,1,close,10000
3,100,874820,1.374781,0.766651,1300149,1,0.9,,10,geometric,group,1000.0,1,close,10000
3,100,800070,2.26725,1.64977,1198605,1,0.9,,10,geometric,group,10000.0,1,close,10000
4,20,25384,0.216385,0.008917,45572,1,0.9,,10,geometric,single,,1,close,10000
4,20,27025,0.216444,0.00802,36261,1,0.9,,10,geometric,group,10.0,1,close,10000
4,20,23994,0.216418,0.008798,41456,1,0.9,,10,geometric,group,100.0,1,close,10000
4,20,42066,0.266301,0.049424,49488,1,0.9,,10,geometric,group,1000.0,1,close,10000
4,20,16243,0.666521,0.459197,21150,1,0.9,,10,geometric,group,10000.0,1,close,10000
4,40,129064,0.367194,0.067513,214208,1,0.9,,10,geometric,single,,1,close,10000
4,40,78547,0.349175,0.04851,157885,1,0.9,,10,geometric,group,10.0,1,close,10000
4,40,111916,0.350861,0.050439,163524,1,0.9,,10,geometric,group,100.0,1,close,10000
4,40,131100,0.410905,0.096555,177831,1,0.9,,10,geometric,group,1000.0,1,close,10000
4,40,86063,1.024714,0.71655,118984,1,0.9,,10,geometric,group,10000.0,1,close,10000
4,60,240281,0.590979,0.166345,456112,1,0.9,,10,geometric,single,,1,close,10000
4,60,281121,0.557951,0.141146,464116,1,0.9,,10,geometric,group,10.0,1,close,10000
4,60,253974,0.558422,0.158352,398071,1,0.9,,10,geometric,group,100.0,1,close,10000
4,60,347036,0.633349,0.224689,497241,1,0.9,,10,geometric,group,1000.0,1,close,10000
4,60,248521,1.291622,0.891071,386590,1,0.9,,10,geometric,group,10000.0,1,close,10000
4,80,436389,0.840855,0.333655,798377,1,0.9,,10,geometric,single,,1,close,10000
4,80,463133,0.857317,0.349835,750780,1,0.9,,10,geometric,group,10.0,1,close,10000
4,80,487795,0.824474,0.308035,839269,1,0.9,,10,geometric,group,100.0,1,close,10000
4,80,410336,0.933776,0.42482,655171,1,0.9,,10,geometric,group,1000.0,1,close,10000
4,80,453222,1.783954,1.283405,682461,1,0.9,,10,geometric,group,10000.0,1,close,10000
4,100,817761,1.282816,0.64136,1532930,1,0.9,,10,geometric,single,,1,close,10000
4,100,636166,1.251772,0.641429,1068900,1,0.9,,10,geometric,group,10.0,1,close,10000
4,100,670052,1.29582,0.671293,1145159,1,0.9,,10,geometric,group,100.0,1,close,10000
4,100,746315,1.375175,0.759258,1154918,1,0.9,,10,geometric,group,1000.0,1,close,10000
4,100,744913,2.308707,1.710509,1137906,1,0.9,,10,geometric,group,10000.0,1,close,10000
