Size,Time,Time_std,Cost
2,0.0,0.0,29.4
3,0.0004104,0.0009176822979659137,36.4
4,0.0006776,0.0015151596615538576,41.0
5,0.0008418,0.001023927829487997,47.6
6,0.002586,0.005782471789814456,62.4
7,0.0078058,0.006008656522052165,62.6
8,0.0630668,0.0690549543385556,75.0
9,0.17782740000000002,0.21411170798744286,66.6
10,1.0337396,0.96877933926452,74.2
11,5.5704921999999994,6.542991970611052,79.4
12,51.1735874,99.278247562564,86.2
13,118.6985158,151.53094572621941,85.8
