iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
200,3,5,23817.29,10415,298729,10415
200,3,6,23432.12,10128,317612,10128
200,3,7,23463.36,10210,304336,10210
200,3,8,24899.29,10877,314529,10877
200,3,9,24000.309999999998,10540,292031,10540
200,4,0,18961.59,8099,276359,8099
200,4,1,20843.85,9078,268785,9078
200,4,2,20935.15,9103,272915,9103
200,4,3,22643.75,9919,280575,9919
200,4,4,20152.37,8700,275237,8700
200,4,5,22930.0,10171,258800,10171
200,4,6,21334.59,9258,281859,9258
200,4,7,20954.559999999998,9101,275256,9101
200,4,8,20433.940000000002,8852,272994,8852
200,4,9,21891.36,9563,276536,9563
200,5,0,22031.07,9514,300307,9514
200,5,1,20626.41,8848,293041,8848
200,5,2,20795.440000000002,9042,271144,9042
200,5,3,22745.58,9858,302958,9858
200,5,4,20224.22,8685,285422,8685
200,5,5,23392.010000000002,10212,296801,10212
200,5,6,20887.59,9066,275559,9066
200,5,7,22803.66,9873,305766,9873
200,5,8,21738.28,9459,282028,9459
200,5,9,24080.760000000002,10710,266076,10710
200,6,0,23290.28,10147,299628,10147
200,6,1,22278.35,9631,301635,9631
200,6,2,23445.87,10260,292587,10260
200,6,3,22915.34,9984,294734,9984
200,6,4,22611.48,9798,301548,9798
200,6,5,22679.35,9937,280535,9937
200,6,6,23264.11,10126,301211,10126
200,6,7,23321.11,10172,297711,10172
200,6,8,21941.77,9418,310577,9418
200,6,9,23983.57,10639,270557,10639
200,7,0,21811.98,9506,279998,9506
200,7,1,20180.96,8637,290696,8637
200,7,2,23144.34,10141,286234,10141
200,7,3,21209.97,9278,265397,9278
200,7,4,20115.73,8671,277373,8671
200,7,5,22036.68,9660,271668,9660
200,7,6,20013.58,8652,270958,8652
200,7,7,20994.59,9037,292059,9037
200,7,8,20198.75,8814,257075,8814
200,7,9,20549.6,8864,282160,8864
200,8,0,25044.04,10922,320004,10922
200,8,1,24762.86,10781,320086,10781
200,8,2,23706.59,10267,317259,10267
200,8,3,23149.559999999998,9999,315156,9999
200,8,4,25423.309999999998,11162,309931,11162
200,8,5,23544.55,10160,322455,10160
200,8,6,23427.22,10166,309522,10166
200,8,7,24563.52,10590,338352,10590
200,8,8,24928.46,10912,310446,10912
200,8,9,24592.93,10758,307693,10758
200,9,0,22699.43,9855,298943,9855
200,9,1,20169.489999999998,8604,296149,8604
200,9,2,23113.34,10154,280534,10154
200,9,3,22509.29,9794,292129,9794
200,9,4,24005.52,10454,309752,10454
200,9,5,23341.57,10174,299357,10174
200,9,6,23490.84,10264,296284,10264
200,9,7,23145.54,10001,314354,10001
200,9,8,23359.09,10176,300709,10176
200,9,9,21255.43,9114,302743,9114
400,0,0,22300.95,9703,289495,9703
400,0,1,21454.35,9433,258835,9433
